zip,date
98133,2026-02-03
23223,2026-02-03
30331,2026-02-03
32601,2026-02-03
08260,2026-02-03
77573,2026-02-03
66062,2026-02-03
21239,2026-02-03
98104,2026-02-03
77346,2026-02-03
60031,2026-02-03
48653,2026-02-03
65738,2026-02-03
07310,2026-02-03
85629,2026-02-03
11368,2026-02-03
75206,2026-02-03
45801,2026-02-03
18104,2026-02-03
41035,2026-02-03
22039,2026-02-03
70607,2026-02-03
33461,2026-02-03
43764,2026-02-03
98195,2026-02-03
76548,2026-02-03
92708,2026-02-03
90044,2026-02-03
85208,2026-02-03
33436,2026-02-03
21074,2026-02-03
19808,2026-02-03
10023,2026-02-03
90680,2026-02-03
85138,2026-02-03
79605,2026-02-03
46806,2026-02-03
23430,2026-02-03
90277,2026-02-03
14040,2026-02-03
20191,2026-02-03
75707,2026-02-03
02382,2026-02-03
10524,2026-02-03
11714,2026-02-03
40484,2026-02-03
52245,2026-02-03
89406,2026-02-03
44720,2026-02-03
76043,2026-02-03
06901,2026-02-03
32578,2026-02-03
89030,2026-02-03
97003,2026-02-03
18704,2026-02-03
87106,2026-02-03
94066,2026-02-03
18015,2026-02-03
29212,2026-02-03
97470,2026-02-03
60513,2026-02-03
60018,2026-02-03
48212,2026-02-03
64083,2026-02-03
55117,2026-02-03
98223,2026-02-03
17543,2026-02-03
90201,2026-02-03
76574,2026-02-03
24279,2026-02-03
91024,2026-02-03
15301,2026-02-03
99207,2026-02-03
98610,2026-02-03
33409,2026-02-03
30281,2026-02-03
10457,2026-02-03
67401,2026-02-03
76002,2026-02-03
48451,2026-02-03
94619,2026-02-03
52246,2026-02-03
30701,2026-02-03
40701,2026-02-03
08051,2026-02-03
34602,2026-02-03
02721,2026-02-03
48141,2026-02-03
96706,2026-02-03
22207,2026-02-03
54501,2026-02-03
28273,2026-02-03
19021,2026-02-03
60506,2026-02-03
36277,2026-02-03
32779,2026-02-03
95062,2026-02-03
15401,2026-02-03
97015,2026-02-03
81520,2026-02-03
97405,2026-02-03
08736,2026-02-03
38575,2026-02-03
92027,2026-02-03
66517,2026-02-03
45434,2026-02-03
60120,2026-02-03
54166,2026-02-03
37207,2026-02-03
76557,2026-02-03
55811,2026-02-03
66104,2026-02-03
28676,2026-02-03
38474,2026-02-03
22003,2026-02-03
53597,2026-02-03
97239,2026-02-03
46528,2026-02-03
47025,2026-02-03
91214,2026-02-03
85255,2026-02-03
95476,2026-02-03
30223,2026-02-03
21221,2026-02-03
45424,2026-02-03
44092,2026-02-03
44691,2026-02-03
45215,2026-02-03
32208,2026-02-03
19446,2026-02-03
97214,2026-02-03
12571,2026-02-03
32180,2026-02-03
76903,2026-02-03
58425,2026-02-03
34759,2026-02-03
79705,2026-02-03
27233,2026-02-03
44667,2026-02-03
28762,2026-02-03
37336,2026-02-03
07206,2026-02-03
44827,2026-02-03
53120,2026-02-03
77004,2026-02-03
64155,2026-02-03
19123,2026-02-03
77563,2026-02-03
10549,2026-02-03
02764,2026-02-03
93906,2026-02-03
85041,2026-02-03
99217,2026-02-03
59912,2026-02-03
72753,2026-02-03
13491,2026-02-03
19140,2026-02-03
28546,2026-02-03
92869,2026-02-03
39110,2026-02-03
40222,2026-02-03
